id,apelido,clube,posicao,ultima_pontuacao,status,FD,G,CA,FC,FS,DD,GS,PP,SG,CV,FT,A,PE,RB,DP,I,FF,R1,R2,R3,R4,R5,R6,R7,R8,R9,R10,R11,R12,P1,P2,P3,P4,P5,P6,P7,P8,P9,P10,P11,P12
52950,Victor,Atlético-MG,Goleiro,-1.8,Dúvida,0,14,0,0,2,1,1,1,0,11,0,0,0,7,0,0,0,0.7,-1,5,15.1,13.7,1.7,1,-2,-1.8,,,,9.69,6.84,7.83,11.53,12.99,11.31,10.97,10.12,9.79,,,
56102,João Paulo,Coritiba,Meia,0,Contundido,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,7,7,7,7,7,7,7,7,7,,,
60787,Willians,Avaí,Atacante,0,Nulo,6,0,0,4,0,14,0,0,1,0,0,0,0,8,0,0,0,0,0,0,0.8,-2.1,-0.3,3,0,0,,,,5,5,5,4.06,3.15,3.18,3.81,3.31,3.23,,,
54797,Túlio de Melo,Chapecoense,Atacante,0,Nulo,2,0,0,0,0,3,0,0,1,0,0,2,0,5,0,0,0,0,0.2,-0.9,-0.3,-0.3,0,0,1.7,0,,,,7,5.2,4.27,4,3.69,3.69,3.69,3.75,3.43,,,
55594,Xuxa,Ponte Preta,Meia,0,Nulo,0,0,0,1,0,0,0,0,0,0,0,0,0,2,0,0,0,-0.3,1.4,0,0,0,0,0,0,0,,,,2.62,2.44,2.44,2.44,2.44,2.44,2.44,2.44,2.44,,,
52674,Gilson,Botafogo,Lateral,0,Nulo,13,0,0,5,3,3,0,1,0,0,0,0,0,7,0,0,1,3.5,4.2,7.7,6.7,2.5,2.8,0.5,0,0,,,,6.01,7.25,9.14,10.1,9.56,9.64,9.09,9.09,9.09,,,
60784,Rafael Carioca,Atlético-MG,Meia,-0.1,Provável,13,0,0,12,0,8,0,2,0,0,0,0,0,19,0,0,0,-0.8,0.7,2.8,4.3,2.6,4.3,-1.4,0.8,-0.1,,,,7.92,5.86,6.08,6.78,6.63,7.16,6.02,6.24,5.97,,,
37604,Paulo André,Atlético-PR,Zagueiro,0,Nulo,4,0,0,5,0,4,0,1,0,0,0,0,0,10,0,0,0,0,-0.1,4.2,-0.4,0,-0.2,0,0,0,,,,6,4.34,5.29,4.48,4.48,4.08,4.08,4.08,4.08,,,
60819,Dedé,Cruzeiro,Zagueiro,0,Contundido,2,0,0,2,2,1,0,0,0,0,0,0,0,12,0,0,0,6.2,-2.3,6.4,0,0,0,0,0,0,,,,8.63,7.11,8.86,8.86,8.86,8.86,8.86,8.86,8.86,,,
94045,Diego Gomes,Santos,Meia,0,Nulo,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,1,1,1,1,1,1,1,1,1,,,
94044,John Victor,Santos,Goleiro,0,Nulo,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,1,1,1,1,1,1,1,1,1,,,
60788,Marquinhos,Sport,Atacante,0,Nulo,2,0,0,0,0,2,0,0,0,0,0,0,0,3,2,0,0,0,0,10,-0.6,0,0,0,-0.3,0,,,,5,5,7.2,5.72,5.72,5.72,5.72,5.05,5.05,,,
94102,Matheus,Avaí,Goleiro,0,Nulo,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,1,1,1,1,1,1,1,1,1,,,
94067,Matheus Fernandes,Botafogo,Meia,8.9,Provável,5,0,0,15,0,9,0,0,0,0,0,3,0,6,0,0,0,0,0,0,-0.3,5.8,0.9,2.3,6.2,8.9,,,,2,2,1.49,1.31,2.85,2.26,2.63,3.69,4.77,,,
60802,Bruno Gallo,Vasco,Meia,0,Nulo,1,0,0,0,0,1,0,0,0,0,0,0,0,2,0,0,0,-0.6,0,0,0,0,0,0,0,0,,,,1.7,1.7,1.7,1.7,1.7,1.7,1.7,1.7,1.7,,,
61985,Airton,Botafogo,Meia,0,Contundido,4,0,0,3,0,3,0,0,0,0,0,0,0,7,0,0,0,0,1.9,0,1.6,0,0,0,0,0,,,,7.07,6,6,5.63,5.63,5.63,5.63,5.63,5.63,,,
94138,Felipe Vizeu,Flamengo,Atacante,0,Nulo,1,0,0,0,0,2,0,0,0,0,0,1,0,2,0,0,0,0,0,0,0,0.7,-1.1,0,0,0,,,,5,5,5,5,4,3.46,3.46,3.46,3.46,,,
60853,Julio dos Santos,Vasco,Meia,0,Nulo,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,5,5,5,5,5,5,5,5,5,,,
94105,Devid,Avaí,Atacante,0,Nulo,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,1,1,1,1,1,1,1,1,1,,,
60859,Jael,Grêmio,Atacante,0,Contundido,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,5,5,5,5,5,5,5,5,5,,,
53669,Lins,Ponte Preta,Atacante,-0.5,Nulo,6,0,0,4,0,10,0,0,2,0,0,2,0,15,1,1,0,0,1.1,4,0.8,0.3,0,3.6,-1.1,-0.5,,,,5,4.13,5.01,4.62,4.37,4.37,4.9,4.05,4,,,
55348,Luis Ricardo,Botafogo,Lateral,0,Contundido,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,8,8,8,8,8,8,8,8,8,,,
53731,Ferdinando,Avaí,Meia,0,Nulo,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,5,5,5,5,5,5,5,5,5,,,
94144,Thallyson,Sport,Meia,-1.3,Provável,7,0,0,3,0,9,0,2,0,0,0,0,0,11,0,1,0,0,0,-0.8,1.1,0.3,-2.1,-0.9,0,-1.3,,,,1,1,0.74,0.91,0.81,0.76,0.76,0.76,0.77,,,
37607,Michel Bastos,Palmeiras,Meia,0,Contundido,2,0,0,5,0,1,0,2,1,0,0,5,0,21,0,2,0,0,3.8,-1.1,-0.7,2.3,-2.1,0,0,0,,,,8,7.51,6.15,5.71,6.08,5.01,5.01,5.01,5.01,,,
61033,Rodriguinho,Corinthians,Meia,1,Provável,14,0,0,7,0,8,0,1,2,0,1,3,0,20,2,1,0,6.5,0.6,8.4,7.5,0,0,0,4.5,1,,,,16.62,14.3,15.84,16.57,16.57,16.57,16.57,15.2,14.49,,,
37608,Cristian,Corinthians,Meia,0,Nulo,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,4,4,4,4,4,4,4,4,4,,,
60969,Patric,Vitória,Lateral,3,Provável,6,0,0,10,1,11,0,0,3,0,0,4,0,33,0,2,0,3.2,0,0,-2,-1.6,0,5.8,6,3,,,,8.63,8.63,8.63,6.47,5.86,5.86,6.96,7.39,7.09,,,
62009,Camilo,Botafogo,Meia,0,Dúvida,3,0,0,0,0,0,0,0,1,0,0,4,0,3,0,0,0,-0.1,1.4,3.1,0,0,0,0,0,0,,,,14.78,11.38,11.07,11.07,11.07,11.07,11.07,11.07,11.07,,,
37644,Rodrigo,Ponte Preta,Zagueiro,8,Provável,7,0,0,5,3,3,0,1,1,0,0,2,0,6,0,1,0,0,0,0,10.1,1.1,-0.3,0,4.7,8,,,,10,10,7.45,10.08,8.67,8.12,8.12,8.77,9.73,,,
94214,Léo Duarte,Flamengo,Zagueiro,0,Nulo,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,3,3,3,3,3,3,3,3,3,,,
61188,Gilberto,São Paulo,Atacante,0,Nulo,1,0,0,1,0,4,0,1,2,0,1,3,0,3,0,3,0,0.7,0,0,-2.6,0,8.4,1.9,-0.5,0,,,,5.45,5.45,5.45,3.48,3.48,5.51,4.69,4.2,4.2,,,
94207,Guilherme,Botafogo,Atacante,-0.6,Nulo,2,0,0,2,0,2,0,0,3,0,0,0,0,8,1,0,0,-0.4,8.2,1.3,0,0,0,0,0.5,-0.6,,,,2.55,5.34,4.94,4.94,4.94,4.94,4.94,4.39,4.09,,,
94154,Maycon,Corinthians,Meia,-0.1,Provável,3,0,0,12,0,3,0,0,1,0,1,4,0,29,0,0,0,0.4,1.8,5.9,0.1,8.7,4.2,2.3,0.2,-0.1,,,,5.94,5.24,6.65,5.81,7.88,7.61,7.37,6.94,6.75,,,
37646,Betão,Avaí,Zagueiro,0.6,Provável,11,0,0,7,2,6,0,3,1,0,0,1,0,22,0,0,0,4.3,-0.7,1,5,1.6,0.9,0.8,0,0.6,,,,6.58,5.76,5.66,6.81,6.33,6.13,5.99,5.99,5.77,,,
61149,Lucca,Ponte Preta,Atacante,9.1,Provável,30,0,0,7,0,13,0,0,6,0,6,6,0,24,1,2,0,13.9,0.9,17.2,9.7,2.1,14.8,3.1,4.6,9.1,,,,14.78,15.25,20.09,20.61,19.11,21.96,20.08,20.26,21.26,,,
37645,Marcelo Mattos,Vasco,Meia,0,Contundido,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,4,4,4,4,4,4,4,4,4,,,
94147,Lucas Ferreira,Sport,Goleiro,0,Nulo,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,1,1,1,1,1,1,1,1,1,,,
37623,Rafael Marques,Vasco,Zagueiro,0,Nulo,0,0,0,1,0,4,0,0,0,0,0,0,0,7,0,0,0,-1.2,-1.2,0,0,0,0,0,0,0,,,,4.1,2.12,2.12,2.12,2.12,2.12,2.12,2.12,2.12,,,
94249,Lourency,Chapecoense,Atacante,0,Nulo,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,3,3,3,3,3,3,3,3,3,,,
37652,Carlos Alberto,Atlético-PR,Meia,0.9,Nulo,5,0,0,1,0,2,0,0,1,0,0,1,0,6,0,0,0,0,2.2,0,0,0,0,0,0,0.9,,,,8,6.81,6.81,6.81,6.81,6.81,6.81,6.81,5.72,,,
94286,Perotti,Chapecoense,Atacante,0.1,Nulo,2,0,0,0,0,2,0,0,0,0,0,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0.1,,,,2,2,2,2,2,2,2,2,1.57,,,
93282,Fábio,Sport,Meia,0,Nulo,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,3,3,3,3,3,3,3,3,3,,,
93414,Joel Carli,Botafogo,Zagueiro,-2.6,Suspenso,2,0,0,8,3,11,0,3,0,0,1,1,0,24,0,1,0,0,7.8,0,3.8,-2.9,8.6,0.7,3.7,-2.6,,,,11,11.45,11.45,10.98,9.15,11.33,9.99,10.5,9.19,,,
93490,Guilherme,Ponte Preta,Goleiro,0,Nulo,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,0,0,0,0,,,,,,,,,2,2,2,2,,,
93368,Lucas Veríssimo,Santos,Zagueiro,5.4,Provável,2,0,0,8,6,7,0,2,1,0,0,2,0,16,0,0,0,-2.5,6.2,5.1,-0.9,1.6,6.1,5.7,8,5.4,,,,1.77,3.28,4.39,3.47,3.86,5.08,5.51,6.48,6.48,,,
61211,Carlos Cesar,Atlético-MG,Lateral,0,Contundido,1,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,-0.7,0,0,0,0,0,0,0,0,,,,4.46,4.46,4.46,4.46,4.46,4.46,4.46,4.46,4.46,,,
92085,Giovanny ,Atlético-PR,Atacante,0,Nulo,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,4,4,4,4,4,4,4,4,4,,,
93746,Lenis,Sport,Atacante,1.9,Nulo,4,0,0,0,0,2,0,0,1,0,0,2,0,3,0,0,0,-0.1,0,0.7,0,0,0,0,0,1.9,,,,3.47,3.47,2.81,2.81,2.81,2.81,2.81,2.81,2.76,,,
93153,Pachequinho,Coritiba,Técnico,2.62,Provável,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.23,1.33,4.11,5.77,5.17,1.95,3.5,3.56,2.62,,,,6.53,7.46,8.34,9.39,9.7,9.23,9.51,9.65,9.56,,,
62024,Edimar,São Paulo,Lateral,0,Nulo,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,5,5,5,5,5,5,5,5,5,,,
93785,Alan Cardoso,Vasco,Lateral,0,Nulo,0,0,0,1,0,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1.3,0,0,,,,2,2,2,2,2,2,1.21,1.21,1.21,,,
93378,Augusto,Palmeiras,Zagueiro,0,Nulo,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,1,1,1,1,1,1,1,1,1,,,
93551,Igor,Atlético-GO,Meia,0,Contundido,11,0,0,13,0,23,0,3,4,0,0,2,0,18,0,2,0,4.7,-2.2,-0.1,2,-3.7,0,5.5,2.9,0,,,,4.03,3.35,3.21,3.67,2.23,2.23,3.76,3.61,3.61,,,
93369,Rodrigo Becão,Bahia,Zagueiro,-2.4,Nulo,2,0,0,4,1,4,0,1,1,0,0,1,0,7,0,0,0,0,0,0,0,0,0,6.5,4.3,-2.4,,,,3,3,3,3,3,2.29,3.76,3.8,2.6,,,
93789,Caio Monteiro,Vasco,Atacante,8,Nulo,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0.2,0,8,,,,1,1,1,1,1,1,0.81,0.81,2.53,,,
93797,Marcinho,Botafogo,Lateral,0,Contundido,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,3,3,3,3,3,3,3,3,3,,,
93739,Peu,Fluminense,Atacante,0,Nulo,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,0,0,0,0,0,,,,,,,,1,1,1,1,1,,,
93787,Andrey,Vasco,Meia,0,Nulo,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,1,1,1,1,1,1,1,1,1,,,
90285,Bruno Henrique,Santos,Atacante,10.1,Provável,20,0,1,10,0,21,0,2,6,0,0,3,0,31,5,4,1,9.3,5.9,-0.7,-6.6,0,8.4,7,-0.6,10.1,,,,13.65,15.27,13.54,11.01,11.01,12.79,12.93,11.54,13.63,,,
93846,Rafael Fachin,Coritiba,Goleiro,0,Nulo,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,1,1,1,1,1,1,1,1,1,,,
74213,Alejandro Guerra,Palmeiras,Meia,-2.9,Dúvida,12,0,0,4,0,15,0,2,7,0,2,4,0,34,1,0,0,10.1,0,0.8,-0.1,0,9.1,0.5,4.4,-2.9,,,,14.92,14.92,13.39,12.64,12.64,13.88,12.34,12.97,11.45,,,
98515,Lucas Silva,Flamengo,Atacante,0,Nulo,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,2,2,2,2,2,2,2,2,2,,,
93788,Evander,Vasco,Meia,0,Nulo,0,0,0,0,0,2,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,-1.3,0,-2,0,,,,2,2,2,2,2,1.2,1.2,0.8,0.8,,,
71892,Wellington Silva,Bahia,Lateral,0,Contundido,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,7,7,7,7,7,7,7,7,7,,,
90290,Jailson,Grêmio,Meia,0,Nulo,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,6.4,0,0,0,0,0,0,,,,4.24,3.1,4.96,4.96,4.96,4.96,4.96,4.96,4.96,,,
81682,Cazares,Atlético-MG,Meia,7.8,Nulo,2,0,0,3,0,6,0,0,5,0,1,5,0,20,3,1,0,1.1,6.3,6.2,-1.1,0,0,0,7.8,7.8,,,,6.44,7.79,8.92,7.64,7.64,7.64,7.64,8.65,9.15,,,
71920,Michel ,Grêmio,Meia,2.2,Provável,10,0,0,17,0,18,0,1,1,0,3,4,0,21,0,0,0,3.5,-0.9,0,5,19,4,4.5,7.1,2.2,,,,4.6,3.99,3.99,5.13,9.5,7.89,8.21,9.08,8.44,,,
71818,Bruno Grassi,Grêmio,Goleiro,0,Nulo,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,4,4,4,4,4,4,4,4,4,,,
72037,Renan Fonseca,Botafogo,Zagueiro,0,Nulo,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,3,3,3,3,3,3,3,3,3,,,
71937,Juninho,Bahia,Meia,0,Provável,7,0,0,11,0,17,0,1,7,0,0,5,0,29,1,0,1,7.8,1.4,-1.5,4.2,5,5.3,-3.1,2.9,0,,,,12.59,12.09,10.49,11.41,11.68,11.97,10.13,10.95,10.95,,,
72150,Fernandinho,Ponte Preta,Lateral,0,Nulo,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,,,,5.66,5.66,5.66,5.66,5.66,5.66,5.66,5.66,5.66,,,
72079,Bruno Cortez,Grêmio,Lateral,6.1,Provável,10,0,0,11,6,12,0,2,0,0,1,0,0,18,0,0,0,4.2,5,0,5.6,-2.9,15.4,10.9,2,6.1,,,,7.21,8.68,8.68,9.37,7.46,11.46,11.72,10.47,11.36,,,
71927,Diego Rosa,Atlético-GO,Meia,0,Nulo,3,0,0,4,0,6,0,0,2,0,0,1,0,4,1,1,0,6.4,1.7,0,0,0,0,0.9,2.3,0,,,,8.77,9.02,9.02,9.02,9.02,9.02,7.78,7.98,7.49,,,
72297,Airton ,Avaí,Zagueiro,0,Nulo,0,0,0,1,0,3,0,0,0,0,0,2,0,2,0,0,0,0,0,0,0,0,0,0,1,0,,,,1,1,1,1,1,1,1,1,1,,,
72290,Jailson,Palmeiras,Goleiro,0,Nulo,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,8,8,8,8,8,8,8,8,8,,,
74271,Edigar Junio,Bahia,Atacante,-0.3,Provável,14,0,0,4,0,14,0,0,5,0,2,2,0,18,0,1,1,8.9,-0.3,0.9,-0.1,11.9,3.7,0.2,1.9,-0.3,,,,9.83,9.65,9.27,8.74,11.54,10.6,9.82,9.99,9.46,,,
72168,João Paulo,Botafogo,Meia,4,Suspenso,13,0,0,9,0,20,0,3,5,0,0,3,0,36,2,1,0,-2.7,0.4,0.1,-2.6,1,7,4.8,-0.4,4,,,,2.33,1.09,0.85,0.76,0.76,2.28,2.46,1.68,2.59,,,
72362,Rodrigo Lindoso,Botafogo,Meia,-0.8,Provável,7,0,0,14,0,5,0,1,0,0,1,1,0,19,0,0,0,0,15.6,3,0,0.8,6.1,2.4,-1.3,-0.8,,,,6,11.22,10.55,10.55,9.77,10.88,10.3,9.44,9.24,,,
79343,Doriva,Atlético-GO,Técnico,1.29,Provável,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,0,1,4.71,2.49,1.29,,,,,,,,5.88,4.95,6.01,5.95,5.77,,,
72007,Uillian Correia,Vitória,Meia,0.6,Provável,3,0,0,8,0,16,0,1,0,0,1,5,0,13,0,0,0,-0.2,-0.6,0.7,-1.6,0,-0.8,1.4,13.2,0.6,,,,4.1,2.67,2.6,1.88,1.93,1.64,2,4.8,3.05,,,
72386,Hernane,Bahia,Atacante,0,Contundido,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,10,10,10,10,10,10,10,10,10,,,
72491,Bressan,Grêmio,Zagueiro,0,Nulo,1,0,0,2,0,2,0,1,0,0,0,0,0,6,0,1,0,0,0,-1.4,0,0,0,0,0,0,,,,4,4,2.49,2.49,2.49,2.49,2.49,2.49,2.49,,,
75295,Paolo Guerrero,Flamengo,Atacante,32.1,Provável,13,0,0,5,0,21,0,1,5,0,3,7,0,5,1,5,0,-0.7,0,2.4,9.4,0,0,0,-5.8,32.1,,,,12.24,12.24,9.81,11.86,11.86,11.86,11.86,8.48,16.23,,,
72376,Cléber,Santos,Zagueiro,0,Nulo,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.5,0,0,0,,,,7,7,7,7,7,6.49,6.49,6.49,6.49,,,
72490,Fred,Vitória,Zagueiro,4.7,Provável,2,0,0,11,1,8,0,2,3,0,0,5,0,25,0,0,0,0,-0.1,-3.5,-2.6,2.7,3.6,8.5,2.4,4.7,,,,6,4.34,2.61,1.95,2.82,3.27,4.72,4.03,4.67,,,
72565,Luan,Avaí,Meia,1.6,Provável,18,0,0,17,0,20,0,3,1,0,0,1,0,13,0,0,0,3.2,-1.2,7.7,3.8,2.3,1.9,0.4,0,1.6,,,,5.09,4.13,6.5,6.65,6.53,6.51,6.15,6.15,6.2,,,
72745,Escudero,Vasco,Meia,0,Nulo,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,5,5,5,5,5,5,5,5,5,,,
72871,Cárdenas,Vitória,Meia,0,Nulo,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,6,6,6,6,6,6,6,6,6,,,
72603,William Menezes,Coritiba,Goleiro,0,Nulo,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,2,2,2,2,2,2,2,2,2,,,
73336,Rafael Martins,Coritiba,Goleiro,0,Nulo,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,2,2,2,2,2,2,2,2,2,,,
72595,Mauricio Kozlinski,Avaí,Goleiro,-3,Dúvida,0,15,0,0,2,0,0,0,0,13,0,0,0,4,0,0,0,4.7,2,-1,10.4,7,1,0,6.7,-3,,,,7.57,7.78,6.7,9.66,9.91,8.97,8.54,9.88,8.1,,,
72879,Vladimir Hernández,Santos,Atacante,0,Nulo,11,0,0,2,0,4,0,1,1,0,1,1,0,6,0,1,0,10.2,-0.2,0.4,1.7,0,0,0.5,-0.3,0,,,,11.46,11.26,10.58,10.59,9.82,9.82,9.26,8.88,8.88,,,
73446,Éderson,Atlético-PR,Atacante,0,Nulo,1,0,0,1,0,0,0,0,2,0,0,3,0,6,0,1,0,0,0,2.1,0.6,0,1.3,0,0,0,,,,4,4,3.71,3.49,3.49,3.46,3.46,3.46,3.46,,,
73281,Renê Júnior,Bahia,Meia,-3.2,Suspenso,15,0,1,23,0,10,0,2,2,0,1,6,0,16,0,3,0,0,0,2.2,15.3,3.9,6.5,10.3,5.5,-3.2,,,,6,6,5.23,9.4,8.26,9.17,10.51,10.18,8.53,,,
73340,Getterson,Coritiba,Atacante,0,Nulo,2,0,0,2,0,3,0,1,0,0,0,0,0,4,0,0,0,0.4,-0.7,0,0,0,0,0,0,0,,,,0.99,0.73,0.73,0.73,0.73,0.73,0.73,0.73,0.73,,,
73421,Rafael Vaz,Flamengo,Zagueiro,0,Provável,1,0,0,4,2,2,0,0,0,0,0,2,0,12,0,0,0,3,5,-1,0,0,0,7.1,0,0,,,,7.07,8.23,6.94,6.94,6.94,6.94,7.79,7.79,7.79,,,
72893,Eduardo da Silva,Atlético-PR,Atacante,0,Nulo,1,0,0,3,0,2,0,0,0,0,0,1,0,2,0,1,0,1.9,2.3,0,0,0,0,0,0,0,,,,7.71,7.19,7.19,7.19,7.19,7.19,7.19,7.19,7.19,,,
77500,Yago,Ponte Preta,Zagueiro,0,Contundido,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,6,6,6,6,6,6,6,6,6,,,
